Ahmet,Yılmaz,98765432101,40000
Ayşe,Kaya,12345678902,40000
Mehmet,Öztürk,87654321012,60000
Elif,Demir,23456789013,70000
Hüseyin,Çelik,34567890124,40000
Zeynep,Yıldız,45678901235,60000
Mustafa,Aydın,56789012346,70000
Selin,Güneş,67890123457,40000
Eren,Doğan,78901234568,60000
Aslı,Kurt,89012345679,40000
Burak,Yılmaz,90123456780,70000
Melis,Arslan,01234567891,70000
Onur,Çetin,10987654321,60000
Sevda,Kara,21098765432,70000
Emre,Erdoğan,32109876543,60000
Esra,Tekin,43210987654,60000
İbrahim,Aksoy,54321098765,70000
Deniz,Yavuz,65432109876,40000
Yasmin,Güzel,76543210987,70000
Tolga,Yıldırım,87654321098,40000
Baran,Bilal,12312312312,80000
